id,name,designation,company
1,Bharat D Shah,Chairman(NonExe.&Ind.Director),3mindia
2,Radhika Rajan,Ind. Non-Executive Director,3mindia
3,Amit Laroya,Non Executive Director,3mindia
4,James Ernest Falteisek,Non Executive Director,3mindia
5,Ramesh Ramadurai,Managing Director,3mindia
6,Biren Gabhawala,Ind. Non-Executive Director,3mindia
7,Jongho Lee,Non Executive Director,3mindia
8,Mamta Janak Gore,Non Executive Director,3mindia
9,Chandrakant V Gogri,Chairman Emeritus,aartidrugs
10,Rashesh C Gogri,Managing Director,aartidrugs
11,Harit P Shah,Whole Time Director,aartidrugs
12,Narendra J Salvi,Non Executive Director,aartidrugs
13,Navin C Shah,Independent Director,aartidrugs
14,Vilas G Gaikar,Independent Director,aartidrugs
15,Prakash M Patil,Chairman & M.D & CEO,aartidrugs
16,Harshit M Savla,Joint Managing Director,aartidrugs
17,Uday M Patil,Whole Time Director,aartidrugs
18,Bhavesh R Vora,Independent Director,aartidrugs
19,Krishnacharya G Akamanchi,Independent Director,aartidrugs
20,Priti P Savla,Independent Director,aartidrugs
21,Chandrakant V Gogri,Chairman Emeritus,aartiindustries
22,Rashesh C Gogri,Vice Chairman & Mng.Director,aartiindustries
23,Manoj M Chheda,Executive Director,aartiindustries
24,Kirit R Mehta,Executive Director,aartiindustries
25,Narendra Jagannath Salvi,Executive Director,aartiindustries
26,P A Sethi,Independent Director,aartiindustries
27,Ganapati D Yadav,Independent Director,aartiindustries
28,Vinay G Nayak,Independent Director,aartiindustries
29,Rajendra V Gogri,Chairman & Managing Director,aartiindustries
30,Parimal H Desai,Executive Director,aartiindustries
31,Hetal Gogri Gala,Executive Director,aartiindustries
32,Renil R Gogri,Executive Director,aartiindustries
33,K V S Shyam Sunder,Independent Director,aartiindustries
34,Bhavesh R Vora,Independent Director,aartiindustries
35,Priti P Savla,Independent Director,aartiindustries
36,Lalitkumar S Naik,Independent Director,aartiindustries
37,Sandeep Tandon,Chairperson & Independent Director,aavasfinanciers
38,Kalpana Iyer,Independent Director,aavasfinanciers
39,Vivek Vig,Non Exe. & Nominee Director,aavasfinanciers
40,Manas Tandon,Non Exe. & Nominee Director,aavasfinanciers
41,Ramchandra Kasargod Kamath,Non Exe. & Nominee Director,aavasfinanciers
42,Sushil Kumar Agarwal,Managing Director & CEO,aavasfinanciers
43,Soumya Rajan,Independent Director,aavasfinanciers
44,Nishant Sharma,Non Exe. & Nominee Director,aavasfinanciers
45,Kartikeya Dhruv Kaji,Non Exe. & Nominee Director,aavasfinanciers
46,Kumar Mangalam Birla,Chairman & Non-Exe.Director,adityabirlacapital
47,Sushil Agarwal,Non Executive Director,adityabirlacapital
48,P H Ravikumar,Independent Director,adityabirlacapital
49,S C Bhargava,Independent Director,adityabirlacapital
50,Santrupt Misra,Non Executive Director,adityabirlacapital
51,Arun Adhikari,Independent Director,adityabirlacapital
52,Vijayalakshmi R Iyer,Independent Director,adityabirlacapital
53,Romesh Sobti,Non Exe. & Nominee Director,adityabirlacapital
54,Morten Wierod,Chairman,abbindia
55,Darius E Udwadia,Director,abbindia
56,V K Viswanathan,Director,abbindia
57,Sanjeev Sharma,Managing Director,abbindia
58,Renu Sud Karnad,Director,abbindia
59,Maria Rosaria Varsellona,Director,abbindia
60,Munir Shaikh,Chairman,abbottindia
61,Rajiv Sonalker,WholeTime Director & CFO,abbottindia
62,Ambati Venu,Non Executive Director,abbottindia
63,Sudarshan Jain,Independent Director,abbottindia
64,Shalini Kamath,Independent Director,abbottindia
65,Anil Joseph,Managing Director,abbottindia
66,Kaiyomarz Marfatia,Non Executive Director,abbottindia
67,Sabina Ewing,Non Executive Director,abbottindia
68,Anisha Motwani,Independent Director,abbottindia
69,N S Sekhsaria,Chairman,acc
70,Martin Kriegner,Non Exe.Non Ind.Director,acc
71,Neeraj Akhoury,Non Exe.Non Ind.Director,acc
72,Falguni Nayar,Ind. Non-Executive Director,acc
73,Sunil Mehta,Ind. Non-Executive Director,acc
74,D Sundaram,Ind. Non-Executive Director,acc
75,Sridhar Balakrishnan,Managing Director & CEO,acc
76,Jan Jenisch,Non Exe.Non Ind.Director,acc
77,M R Kumar,Non Exe.Non Ind.Director,acc
78,Shailesh Haribhakti,Ind. Non-Executive Director,acc
79,Vinayak Chatterjee,Ind. Non-Executive Director,acc
80,S K Roongta,Ind. Non-Executive Director,acc
81,Gautam S Adani,Chairman,adanienterprises
82,Pranav V Adani,Director,adanienterprises
83,V Subramanian,Director,adanienterprises
84,Vinay Prakash,Director,adanienterprises
85,Rajesh S Adani,Managing Director,adanienterprises
86,Hemant Nerurkar,Director,adanienterprises
87,Vijaylaxmi Joshi,Director,adanienterprises
88,Narendra Mairpady,Director,adanienterprises
89,Gautam S Adani,Chairman & Managing Director,adaniportsspecialeconomiczone
90,Malay Mahadevia,Whole Time Director,adaniportsspecialeconomiczone
91,Rajesh S Adani,Non Exe.Non Ind.Director,adaniportsspecialeconomiczone
92,Gopal Krishna Pillai,Ind. Non-Executive Director,adaniportsspecialeconomiczone
93,Bharat Sheth,Ind. Non-Executive Director,adaniportsspecialeconomiczone
94,Karan Adani,WholeTime Director & CEO,adaniportsspecialeconomiczone
95,Avantika Singh Aulakh,Non Exe.Non Ind.Director,adaniportsspecialeconomiczone
96,Ganesan Raghuram,Ind. Non-Executive Director,adaniportsspecialeconomiczone
97,P S Jayakumar,Ind. Non-Executive Director,adaniportsspecialeconomiczone
98,Nirupama Rao,Ind. Non-Executive Director,adaniportsspecialeconomiczone
99,Gautam S Adani,Chairman,adanipower
100,Rajesh S Adani,Director,adanipower
101,Raminder Singh Gujral,Independent Director,adanipower
102,Anil Sardana,Managing Director,adanipower
103,Mukesh Shah,Independent Director,adanipower
104,Gauri Trivedi,Independent Director,adanipower
105,Gautam S Adani,Chairman,adanitotalgas
106,Pranav V Adani,Director,adanitotalgas
107,Naresh Kumar Nayyar,Independent Director,adanitotalgas
108,Maheswar Sahu,Independent Director,adanitotalgas
109,Alexis Thelemaque,Director,adanitotalgas
110,Jose-Ignacio Sanz Saiz,Director,adanitotalgas
111,Chandra Iyengar,Independent Director,adanitotalgas
112,Gauri Trivedi,Independent Director,adanitotalgas
113,Gautam S Adani,Chairman,adanitransmission
114,Rajesh S Adani,Director,adanitransmission
115,Meera Shankar,Director,adanitransmission
116,Anil Sardana,Managing Director & CEO,adanitransmission
117,K Jairaj,Director,adanitransmission
118,Ravindra H Dholakia,Director,adanitransmission
119,Kumar Mangalam Birla,Chairman & Non-Exe.Director,adityabirlafashionretail
120,Ashish Dikshit,Managing Director,adityabirlafashionretail
121,Vishak Kumar,Whole Time Director,adityabirlafashionretail
122,Sukanya Kripalu,Independent Director,adityabirlafashionretail
123,Nish Bhutani,Independent Director,adityabirlafashionretail
124,Arun Adhikari,Independent Director,adityabirlafashionretail
125,Himanshu Kapania,Vice Chairman & Non Exe.Dire,adityabirlafashionretail
126,Sangeeta Pendurkar,Whole Time Director,adityabirlafashionretail
127,Vikram Rao,Non Executive Director,adityabirlafashionretail
128,Sunirmal Talukdar,Independent Director,adityabirlafashionretail
129,Preeti Vyas,Independent Director,adityabirlafashionretail
130,Yogesh Chaudhary,Independent Director,adityabirlafashionretail
131,Vasant Rathi,Non Executive Chairman,advancedenzymetechnologies
132,Kedar Jagdish Desai,Independent Director,advancedenzymetechnologies
133,Rajesh Sharma,Independent Director,advancedenzymetechnologies
134,Vinodkumar Jajoo,Independent Director,advancedenzymetechnologies
135,Rasika Rathi,Non Executive Director,advancedenzymetechnologies
136,Mukund M Kabra,Whole Time Director,advancedenzymetechnologies
137,Pramod Kasat,Independent Director,advancedenzymetechnologies
138,Vilas Aurangabadkar,Independent Director,advancedenzymetechnologies
139,Rajshree Patel,Independent Director,advancedenzymetechnologies
140,Sunny Sharma,Non Executive Director,advancedenzymetechnologies
141,Raj K Chandaria,Chairman & Managing Director,aegislogistics
142,Lars Erik Johansson,Director,aegislogistics
143,Kanwaljit S Nagpal,Director,aegislogistics
144,Raj Kishore Singh,Director,aegislogistics
145,Tasneem Ali,Director,aegislogistics
146,Anish K Chandaria,Vice Chairman & Mng.Director,aegislogistics
147,Anilkumar M Chandaria,Director,aegislogistics
148,Rahul D Asthana,Director,aegislogistics
149,Jaideep D Khimasia,Director,aegislogistics
150,Rajendra S Shah,Chairman(NonExe.&Ind.Director),aiaengineering
151,Yashwant M Patel,Whole Time Director,aiaengineering
152,Bhumika S Shodhan,Non Exe.Non Ind.Director,aiaengineering
153,Dileep C Choksi,Independent Director,aiaengineering
154,Janaki Udayan Shah,Independent Director,aiaengineering
155,Bhadresh K Shah,Managing Director,aiaengineering
156,Khushali S Solanki,Non Exe.Non Ind.Director,aiaengineering
157,Sanjay S Majmudar,Independent Director,aiaengineering
158,Rajan Harivallabhdas,Independent Director,aiaengineering
159,Mannalal B Agrawal,Chairman,ajantapharma
160,Yogesh M Agrawal,Managing Director,ajantapharma
161,Anjana Grewal,Independent Director,ajantapharma
162,K H Viswanathan,Independent Director,ajantapharma
163,Madhusudan B Agrawal,Vice Chairman,ajantapharma
164,Rajesh M Agrawal,Joint Managing Director,ajantapharma
165,Chandrakant M Khetan,Independent Director,ajantapharma
166,Prabhakar R Dalal,Independent Director,ajantapharma
167,Oscar Wezenbeek,Chairman,akzonobelindia
168,Lakshay Kataria,WholeTime Director & CFO,akzonobelindia
169,Smriti Rekha Vijay,Independent Director,akzonobelindia
170,Rajiv Rajgopal,Managing Director,akzonobelindia
171,Hemant Sahai,Independent Director,akzonobelindia
172,Amit Jain,Independent Director,akzonobelindia
173,Chirayu Amin,Chairman & CEO,alembicpharmaceuticals
174,Shaunak Amin,Managing Director,alembicpharmaceuticals
175,K G Ramanathan,Independent Director,alembicpharmaceuticals
176,Paresh Saraiya,Independent Director,alembicpharmaceuticals
177,Pranav Amin,Managing Director,alembicpharmaceuticals
178,R K Baheti,Director - Finance & CFO,alembicpharmaceuticals
179,Pranav Parikh,Independent Director,alembicpharmaceuticals
180,Archana Hingorani,Independent Director,alembicpharmaceuticals
181,Basudeo N Singh,Executive Chairman,alkemlaboratories
182,Dhananjay Kumar Singh,Joint Managing Director,alkemlaboratories
183,Mritunjay Kumar Singh,Executive Director,alkemlaboratories
184,Ranjal Laxmana Shenoy,Independent Director,alkemlaboratories
185,Sangeeta Singh,Independent Director,alkemlaboratories
186,Dheeraj Sharma,Independent Director,alkemlaboratories
187,Sandeep Singh,Managing Director,alkemlaboratories
188,Balmiki Prasad Singh,Executive Director,alkemlaboratories
189,Sarvesh Singh,Executive Director,alkemlaboratories
190,Arun Kumar Purwar,Independent Director,alkemlaboratories
191,Sudha Ravi,Independent Director,alkemlaboratories
192,Narendra Kumar Aneja,Independent Director,alkemlaboratories
193,Yogesh M Kothari,Chairman & Managing Director,alkylamineschemicals
194,Suneet Y Kothari,Executive Director,alkylamineschemicals
195,Chandrashekhar R Gupte,Independent Director,alkylamineschemicals
196,Shyam B Ghia,Independent Director,alkylamineschemicals
197,Dilip G Piramal,Independent Director,alkylamineschemicals
198,Kirat Patel,Executive Director & CFO,alkylamineschemicals
199,Premal N Kapadia,Non Executive Director,alkylamineschemicals
200,Leja Hattiangadi,Independent Director,alkylamineschemicals
201,Shobhan M Thakore,Independent Director,alkylamineschemicals
202,Shashi Kiran Shetty,Chairman & Managing Director,allcargologistics
203,Kaiwan Kalyaniwalla,Non Executive Director,allcargologistics
204,Mohinder Pal Bansal,Independent Director,allcargologistics
205,Parthasarathy Vankipuram Srinivasa,Independent Director,allcargologistics
206,Adarsh Hegde,Joint Managing Director,allcargologistics
207,Arathi Shetty,Non Executive Director,allcargologistics
208,Cynthia Dsouza,Independent Director,allcargologistics
209,Martin Muller,Independent Director,allcargologistics
210,A Siddharth,Chairman & Ind.Director,alokindustries
211,Mumtaz Bandukwala,Independent Director,alokindustries
212,Hemant Desai,Nominee Director,alokindustries
213,Samir Chawla,Nominee Director,alokindustries
214,Rahul Dutt,Independent Director,alokindustries
215,Anil Rajbanshi,Nominee Director,alokindustries
216,V Ramachandran,Nominee Director,alokindustries
217,Ramachandra N Galla,Non Executive Chairman,amararajabatteries
218,Harshavardhana Gourineni,Executive Director,amararajabatteries
219,N Sri Vishnu Raju,Ind. Non-Executive Director,amararajabatteries
220,Bhairavi Tushar Jani,Ind. Non-Executive Director,amararajabatteries
221,Jayadev Galla,Vice Chairman & Mng.Director,amararajabatteries
222,Vikramadithya Gourineni,Executive Director,amararajabatteries
223,T R Narayanaswamy,Ind. Non-Executive Director,amararajabatteries
224,Annush Ramasamy,Ind. Non-Executive Director,amararajabatteries
225,Kartar Singh,Chairman Emeritus,amberenterprisesindialimited
226,Daljit Singh,Managing Director,amberenterprisesindialimited
227,Satwinder Singh,Independent Director,amberenterprisesindialimited
228,Manoj Kumar Sehrawat,Nominee Director,amberenterprisesindialimited
229,Jasbir Singh,Chairman & CEO,amberenterprisesindialimited
230,Girish Kumar Ahuja,Independent Director,amberenterprisesindialimited
231,Sudha Pillai,Independent Director,amberenterprisesindialimited
232,N S Sekhsaria,Chairman,ambujacements
233,Neeraj Akhoury,Managing Director & CEO,ambujacements
234,Christof Hassig,Director,ambujacements
235,Nasser Munjee,Director,ambujacements
236,Shailesh Haribhakti,Director,ambujacements
237,Then Hwee Tan,Director,ambujacements
238,Mahendra Kumar Sharma,Director,ambujacements
239,Praveen Kumar Molri,Director,ambujacements
240,Jan Jenisch,Vice Chairman,ambujacements
241,Ramanathan Muthu,Director,ambujacements
242,Martin Kreigner,Director,ambujacements
243,Rajendra P Chitale,Director,ambujacements
244,Omkar Goswami,Director,ambujacements
245,Shikha Sharma,Director,ambujacements
246,Ranjit Shahani,Director,ambujacements
247,Kiran C Patel,Chairman & Non-Exe.Director,anupamrasayanindia
248,Anand S Desai,Managing Director,anupamrasayanindia
249,Hetul Krishnakant Mehta,Independent Director,anupamrasayanindia
250,Vijay Kumar Batra,Independent Director,anupamrasayanindia
251,Mona A Desai,Vice Chairman & Whole Time Dir,anupamrasayanindia
252,Milan Thakkar,Non Executive Director,anupamrasayanindia
253,Namrata Dharmendra Jariwala,Independent Director,anupamrasayanindia
254,Vinesh Prabhakar Sadekar,Independent Director,anupamrasayanindia
255,Sanjay Gupta,Chairman & Managing Director,aplapollotubes
256,Romi Sehgal,Director,aplapollotubes
257,Virendra Singh Jain,Director,aplapollotubes
258,Anil Kumar Bansal,Director,aplapollotubes
259,Ashok K Gupta,Vice Chairman,aplapollotubes
260,Vinay Gupta,Director,aplapollotubes
261,Neeru Abrol,Director,aplapollotubes
262,Abhilash Lal,Director,aplapollotubes
263,Prathap C Reddy,Founder & Executive Chairman,apollohospitalsenterprises
264,Shobana Kamineni,Executive Vice Chairperson,apollohospitalsenterprises
265,Sangita Reddy,Joint Managing Director,apollohospitalsenterprises
266,Vinayak Chatterjee,Independent Director,apollohospitalsenterprises
267,V Kavitha Dutt,Independent Director,apollohospitalsenterprises
268,Preetha Reddy,Executive Vice Chairperson,apollohospitalsenterprises
269,Suneeta Reddy,Managing Director,apollohospitalsenterprises
270,M B N Rao,Independent Director,apollohospitalsenterprises
271,Som Mittal,Independent Director,apollohospitalsenterprises
272,Murali Doraiswamy,Independent Director,apollohospitalsenterprises
273,Onkar S Kanwar,Chairman & Managing Director,apollotyres
274,Satish Sharma,Whole Time Director,apollotyres
275,Pallavi Shroff,Director,apollotyres
276,Akshay Chudasama,Director,apollotyres
277,Vikram S Mehta,Director,apollotyres
278,Vinod Rai,Director,apollotyres
279,Anjali Bansal,Director,apollotyres
280,Neeraj Kanwar,Vice Chairman & Mng.Director,apollotyres
281,Francesco Crispino,Director,apollotyres
282,Sunam Sarkar,Director,apollotyres
283,Robert Steinmetz,Director,apollotyres
284,Bikram Singh,Director,apollotyres
285,Francesco Gori,Director,apollotyres
286,Vishal Mahadevia,Director,apollotyres
287,B M Labroo,Chairman,asahiindiaglass
288,Satoshi Ogata,Dy.Managing Director & CTO,asahiindiaglass
289,Satoshi Ishizuka,Director,asahiindiaglass
290,Gurvirendra Singh Talwar,Director,asahiindiaglass
291,Rahul Rana,Director,asahiindiaglass
292,Sanjay Labroo,Managing Director & CEO,asahiindiaglass
293,Shradha Suri,Director,asahiindiaglass
294,Yoji Taguchi,Director,asahiindiaglass
295,Masahiro Takeda,Director,asahiindiaglass
296,Sheetal Kapal Mehta,Director,asahiindiaglass
297,Dheeraj G Hinduja,Chairman,ashokleyland
298,Gopal Mahadevan,WholeTime Director & CFO,ashokleyland
299,Jean Brunol,Director,ashokleyland
300,Manisha Girotra,Director,ashokleyland
301,Jose Maria Alapont,Director,ashokleyland
302,C Bhaktavatsala Rao,Director,ashokleyland
303,Vipin Sondhi,Managing Director & CEO,ashokleyland
304,Andreas H Biagosch,Director,ashokleyland
305,Sanjay K Asher,Director,ashokleyland
306,Andrew C Palmer,Director,ashokleyland
307,Saugata Gupta,Director,ashokleyland
308,Ashok Katariya,Executive Chairman,ashokabuildcon
309,Sanjay Londhe,Whole Time Director,ashokabuildcon
310,Sharadchandra Abhyankar,Independent Director,ashokabuildcon
311,Gyanchand Daga,Independent Director,ashokabuildcon
312,Mahendra Mehta,Independent Director,ashokabuildcon
313,Satish Parakh,Managing Director,ashokabuildcon
314,Milapraj Bhansali,Whole Time Director,ashokabuildcon
315,Albert Tauro,Independent Director,ashokabuildcon
316,Shilpa Hiran,Independent Director,ashokabuildcon
317,Ashish Kataria,Non Executive Director,ashokabuildcon
318,Ashwin Dani,Non Executive Chairman,asianpaints
319,Amit Syngle,Managing Director & CEO,asianpaints
320,Abhay Vakil,Non Executive Director,asianpaints
321,Amrita Vakil,Non Executive Director,asianpaints
322,Pallavi Shroff,Independent Director,asianpaints
323,S Sivaram,Independent Director,asianpaints
324,Vibha Paul Rishi,Independent Director,asianpaints
325,Manish Choksi,Non Executive Vice Chairman,asianpaints
326,Jigish Choksi,Non Executive Director,asianpaints
327,Malav Dani,Non Executive Director,asianpaints
328,Suresh Narayanan,Independent Director,asianpaints
329,Deepak Satwalekar,Independent Director,asianpaints
330,M K Sharma,Independent Director,asianpaints
331,R Seshasayee,Independent Director,asianpaints
332,Azad Moopen,Founder Chairman & Mng. Director,asterdmhealthcareltd
333,T J Wilson,Non Executive Director,asterdmhealthcareltd
334,Shamsudheen Bin Mohideen Mammu Haji,Non Executive Director,asterdmhealthcareltd
335,Suresh Muthukrishna Kumar,Ind. Non-Executive Director,asterdmhealthcareltd
336,Layla Mohamed Hassan Ali Almarzooqi,Ind. Non-Executive Director,asterdmhealthcareltd
337,James Mathew,Ind. Non-Executive Director,asterdmhealthcareltd
338,Alisha Moopen,Deputy Managing Director,asterdmhealthcareltd
339,Anoop Moopen,Non Executive Director,asterdmhealthcareltd
340,Daniel Robert Mintz,Non Executive Director,asterdmhealthcareltd
341,Biju Varkkey,Ind. Non-Executive Director,asterdmhealthcareltd
342,Chenayappillil John George,Ind. Non-Executive Director,asterdmhealthcareltd
343,Sridar Arvamudhan Iyengar,Ind. Non-Executive Director,asterdmhealthcareltd
344,Sandeep P Engineer,Chairman & Managing Director,astrallimited
345,Girish B Joshi,Whole Time Director,astrallimited
346,Viral M Jhaveri,Independent Director,astrallimited
347,Jagruti S Engineer,Whole Time Director,astrallimited
348,Kaushal D Nakrani,Independent Director,astrallimited
349,C K Gopal,Independent Director,astrallimited
350,Narayan K Seshadri,Chairman & Ind.Director,astrazenecapharma
351,Rajesh Marwaha,Executive Director,astrazenecapharma
352,Weiying Sarah Wang,Non Executive Director,astrazenecapharma
353,Revathy Ashok,Independent Director,astrazenecapharma
354,Gagandeep Singh Bedi,Managing Director,astrazenecapharma
355,Ankush Nandra,Non Executive Director,astrazenecapharma
356,Kimsuka Narsimhan,Independent Director,astrazenecapharma
357,Sunil Lalbhai,Chairman & Managing Director,atul
358,Bharathy Mohanan,WholeTime Director & President,atul
359,Rajendra Shah,Director,atul
360,Susim Datta,Director,atul
361,Mukund Chitale,Director,atul
362,Baldev Arora,Director,atul
363,Samveg Lalbhai,Managing Director,atul
364,Gopi Kannan Thirukonda,WholeTime Director & CFO,atul
365,Bansi Mehta,Director,atul
366,Srinivasa Rangan,Director,atul
367,Shubhalakshmi Panse,Director,atul
368,Raj Vikash Verma,Part Time Chairman & Independent Director,ausmallfinancebank
369,Uttam Tibrewal,Whole Time Director,ausmallfinancebank
370,Jyoti Narang,Independent Director,ausmallfinancebank
371,Pushpinder Singh,Independent Director,ausmallfinancebank
372,Sanjay Agarwal,Managing Director & CEO,ausmallfinancebank
373,Mankal Shankar Sriram,Independent Director,ausmallfinancebank
374,Krishan Kant Rathi,Independent Director,ausmallfinancebank
375,V G Kannan,Independent Director,ausmallfinancebank
376,K Ragunathan,Non Executive Chairman,aurobindopharma
377,N Govindarajan,Managing Director,aurobindopharma
378,M Madan Mohan Reddy,Whole Time Director,aurobindopharma
379,P V Ramprasad Reddy,Non Executive Director,aurobindopharma
380,Avnit Bimal Singh,Ind. Non-Executive Director,aurobindopharma
381,K Nithyananda Reddy,Vice Chairman & Whole Time Dir,aurobindopharma
382,M Sivakumaran,Whole Time Director,aurobindopharma
383,P Sarath Chandra Reddy,Whole Time Director,aurobindopharma
384,M Sitarama Murthy,Ind. Non-Executive Director,aurobindopharma
385,Savita Mahajan,Ind. Non-Executive Director,aurobindopharma
386,A Indra Kumar,Chairman & Managing Director,avantifeeds
387,N Ram Prasad,Director,avantifeeds
388,Wai Yat Paco Lee,Director,avantifeeds
389,K Ramamohana Rao,Director,avantifeeds
390,M S P Rao,Director,avantifeeds
391,K Kiranmayee,Director,avantifeeds
392,R Karikal Valaven,Nominee Director,avantifeeds
393,V Narsi Reddy,Director,avantifeeds
394,C Ramachandra Rao,Joint Managing Director,avantifeeds
395,Bunluesak Sorajjakit,Director,avantifeeds
396,A V Achar,Director,avantifeeds
397,B V Kumar,Director,avantifeeds
398,N V D S Raju,Director,avantifeeds
399,J V Ramudu,Director,avantifeeds
400,A Venkata Sanjeev,Additional Director,avantifeeds
401,Ramesh Damani,Chairman & Ind.Director,avenuesupermarts
402,Ramakant Baheti,WholeTime Director & Group CFO,avenuesupermarts
403,Manjri Chandak,Non Executive Director,avenuesupermarts
404,Chandrashekhar Bhave,Independent Director,avenuesupermarts
405,Ignatius Navil Noronha,Managing Director & CEO,avenuesupermarts
406,Elvin Machado,Whole Time Director,avenuesupermarts
407,Kalpana Unadkat,Independent Director,avenuesupermarts
408,Rakesh Makhija,Chairman,axisbank
409,Rajesh Dahiya,Executive Director,axisbank
410,Stephen Pagliuca,Non Exe. & Nominee Director,axisbank
411,Vasantha Govindan,Non Exe. & Nominee Director,axisbank
412,Ketaki Bhagwati,Ind. Non-Executive Director,axisbank
413,Meena Ganesh,Ind. Non-Executive Director,axisbank
414,Amitabh Chaudhry,Managing Director & CEO,axisbank
415,Rajiv Anand,Executive Director,axisbank
416,T C Suseel Kumar,Non Exe. & Nominee Director,axisbank
417,Girish Paranjpe,Ind. Non-Executive Director,axisbank
418,S Vishvanathan,Ind. Non-Executive Director,axisbank
419,Gopalaraman Padmanabhan,Ind. Non-Executive Director,axisbank
420,Rahul Bajaj,Chairman,bajajauto
421,Rajiv Bajaj,Managing Director & CEO,bajajauto
422,Rakesh Sharma,Executive Director,bajajauto
423,Niraj Bajaj,Director,bajajauto
424,Shekhar Bajaj,Director,bajajauto
425,D J Balaji Rao,Director,bajajauto
426,Omkar Goswami,Director,bajajauto
427,Lila Poonawalla,Director,bajajauto
428,Madhur Bajaj,Vice Chairman,bajajauto
429,Pradeep Shrivastava,Executive Director,bajajauto
430,Sanjiv Bajaj,Director,bajajauto
431,Gita Piramal,Director,bajajauto
432,Abhinav Bindra,Director,bajajauto
433,Naushad Forbes,Director,bajajauto
434,Anami Roy,Director,bajajauto
435,Pradip Shah,Director,bajajauto
436,Kushagra Nayan Bajaj,Non Executive Chairman,bajajconsumercare
437,Sumit Malhotra,Director,bajajconsumercare
438,Aditya Vikram Ramesh Somani,Independent Director,bajajconsumercare
439,Gaurav Dalmia,Independent Director,bajajconsumercare
440,Jaideep Nandi,Managing Director,bajajconsumercare
441,Lilian Jessie Paul,Independent Director,bajajconsumercare
442,Dilip Cherian,Independent Director,bajajconsumercare
443,Shekhar Bajaj,Chairman & Managing Director,bajajelectricals
444,Pooja Bajaj,Non Executive Director,bajajelectricals
445,Madhur Bajaj,Non Executive Director,bajajelectricals
446,Shailesh Haribhakti,Independent Director,bajajelectricals
447,Rajendra Prasad Singh,Independent Director,bajajelectricals
448,Anuj Poddar,Executive Director,bajajelectricals
449,Rajiv Bajaj,Non Executive Director,bajajelectricals
450,Harsh Vardhan Goenka,Independent Director,bajajelectricals
451,Indu Shahani,Independent Director,bajajelectricals
452,Munish Khetrapal,Independent Director,bajajelectricals
453,Sanjiv Bajaj,Chairman,bajajfinance
454,Rahul Bajaj,Director,bajajfinance
455,Rajiv Bajaj,Director,bajajfinance
456,Omkar Goswami,Director,bajajfinance
457,Ranjan Sanghi,Director,bajajfinance
458,Naushad Forbes,Director,bajajfinance
459,Rajeev Jain,Managing Director,bajajfinance
460,Madhur Bajaj,Director,bajajfinance
461,D J Balaji Rao,Director,bajajfinance
462,Dipak Poddar,Director,bajajfinance
463,Gita Piramal,Director,bajajfinance
464,Anami Roy,Director,bajajfinance
465,Rahul Bajaj,Chairman Emeritus,bajajfinserv
466,Madhur Bajaj,Director,bajajfinserv
467,D J Balaji Rao,Director,bajajfinserv
468,Naushad Forbes,Director,bajajfinserv
469,Manish Kejriwal,Director,bajajfinserv
470,Sanjiv Bajaj,Chairman & Managing Director,bajajfinserv
471,Rajiv Bajaj,Director,bajajfinserv
472,Gita Piramal,Director,bajajfinserv
473,Anami N Roy,Director,bajajfinserv
474,Rahul Bajaj,Chairman Emeritus,bajajholdingsinvestment
475,Sanjiv Bajaj,Managing Director & CEO,bajajholdingsinvestment
476,Gita Piramal,Director,bajajholdingsinvestment
477,D J Balaji Rao,Director,bajajholdingsinvestment
478,Anami N Roy,Director,bajajholdingsinvestment
479,Rajiv Bajaj,Director,bajajholdingsinvestment
480,Niraj Bajaj,Chairman,bajajholdingsinvestment
481,Manish Kejriwal,Director,bajajholdingsinvestment
482,Pradip P Shah,Director,bajajholdingsinvestment
483,Naushad Forbes,Director,bajajholdingsinvestment
484,Madhur Bajaj,Director,bajajholdingsinvestment
485,A Prathap Reddy,Executive Chairman,balajiamines
486,N Rajeshwar Reddy,Joint Managing Director,balajiamines
487,A Srinivas Reddy,Whole Time Director,balajiamines
488,M Amarender Reddy,Independent Director,balajiamines
489,Kashinath R Dhole,Independent Director,balajiamines
490,D Ram Reddy,Managing Director,balajiamines
491,G Hemanth Reddy,WholeTime Director & CFO,balajiamines
492,T Naveena Chandra,Independent Director,balajiamines
493,C S N Murthy,Independent Director,balajiamines
494,Vimala B Madon,Independent Director,balajiamines
495,Arvind Poddar,Chairman & Managing Director,balkrishnaindustries
496,Vipul Shah,Whole Time Director & Co. Secretary,balkrishnaindustries
497,Sandeep Junnarkar,Independent Director,balkrishnaindustries
498,Rajendra Hingwala,Independent Director,balkrishnaindustries
499,Rajiv Poddar,Joint Managing Director,balkrishnaindustries
500,Vijaylaxmi Poddar,Non Independent Director,balkrishnaindustries
501,Pannkaj Ghadiali,Independent Director,balkrishnaindustries
502,Shruti Shah,Independent Director,balkrishnaindustries
503,Sumit Mazumder,Chairman & Ind.Director,balrampurchinimills
504,Arvind Krishna Saxena,Whole Time Director,balrampurchinimills
505,D K Mittal,Lead Independent Director,balrampurchinimills
506,Veena Hingarh,Independent Director,balrampurchinimills
507,Vivek Saraogi,Managing Director,balrampurchinimills
508,Naresh Dayal,Non Executive Director,balrampurchinimills
509,Krishnava Dutt,Independent Director,balrampurchinimills
510,Mamta Binani,Independent Director,balrampurchinimills
