SL NO,F&O STOCKS NAME,SYMBOL,LOT SIZE,zerodha_name
160,Pidilite Industries,PIDILITIND,500,PIDILITE INDUSTRIES
161,PI Industries,PIIND,175,PI INDUSTRIES
162,Punjab National Bank,PNB,8000,PUNJAB NATIONAL BANK
163,PNB Housing Finance,PNBHOUSING,650,PNB HOUSING FIN
164,PB FinTech,POLICYBZR,350,PB FINTECH
165,Polycab,POLYCAB,125,POLYCAB INDIA
166,Power Grid Corporation of India,POWERGRID,1900,POWER GRID CORP.
167,Hitachi Energy,POWERINDIA,50,HITACHI ENERGY INDIA
168,Piramal Pharma,PPLPHARMA,2500,PIRAMAL PHARMA
169,Prestige Estates Projects,PRESTIGE,450,PRESTIGE ESTATE
170,RBL Bank,RBLBANK,3175,RBL BANK
171,REC,RECLTD,1275,REC
172,Reliance Industries,RELIANCE,500,RELIANCE INDUSTRIES
173,Rail Vikas Nigam,RVNL,1375,RAIL VIKAS NIGAM
174,Steel Authority of India,SAIL,4700,STEEL AUTHORITY OF INDIA
175,Sammaan Capital,SAMMAANCAP,4300,SAMMAAN CAPITAL
176,SBI Cards,SBICARD,800,SBI CARDS & PAY SER
177,SBI Life Insurance,SBILIFE,375,SBI LIFE INSURANCE CO
178,State Bank of India,SBIN,750,STATE BANK OF INDIA
179,Shree Cement,SHREECEM,25,SHREE CEMENT
180,Shriram Finance,SHRIRAMFIN,825,SHRIRAM FINANCE
181,Siemens,SIEMENS,125,SIEMENS
182,Solar Industries,SOLARINDS,75,SOLAR INDUSTRIES (I)
183,Sona BLW Precision Forgings,SONACOMS,1050,SONA BLW PRECISION FRGS L
184,SRF,SRF,200,SRF
185,Sun Pharmaceutical,SUNPHARMA,350,SUN PHARMACEUTICAL IND L
186,Supreme Industries,SUPREMEIND,175,SUPREME INDUSTRIES
187,Suzlon Energy,SUZLON,8000,SUZLON ENERGY
188,Syngene International,SYNGENE,1000,SYNGENE INTERNATIONAL
189,Tata Consumer Products,TATACONSUM,550,TATA CONSUMER PRODUCT
190,Tata Elxsi,TATAELXSI,100,TATA ELXSI
191,Tata Motors,TMPV,800,TATA MOTORS PASS VEH
192,Tata Power,TATAPOWER,1450,TATA POWER CO
193,Tata Steel,TATASTEEL,5500,TATA STEEL
194,Tata Technologies,TATATECH,800,TATA TECHNOLOGIES
195,Tata Consultancy Services,TCS,175,TATA CONSULTANCY SERV LT
196,Tech Mahindra,TECHM,600,TECH MAHINDRA
197,Tube Investment,TIINDIA,200,TUBE INVEST OF INDIA
198,Titagarh Rail Systems,TITAGARH,725,TITAGARH RAIL SYSTEMS
199,Titan,TITAN,175,TITAN COMPANY
200,Torrent Pharmaceuticals,TORNTPHARM,250,TORRENT PHARMACEUTICALS L
201,Torrent Power,TORNTPOWER,375,TORRENT POWER
202,Trent,TRENT,100,TRENT
203,TVS Motors,TVSMOTOR,350,TVS MOTOR COMPANY 
204,UltraTech Cement,ULTRACEMCO,50,ULTRATECH CEMENT
205,Union Bank of India,UNIONBANK,4425,UNION BANK OF INDIA
206,United Spirits,UNITDSPR,400,UNITED SPIRITS
207,UNO Minda,UNOMINDA,550,UNO MINDA
208,UPL,UPL,1355,UPL
209,Varun Beverages,VBL,1025,VARUN BEVERAGES
210,Vedanta,VEDL,1150,VEDANTA
211,Voltas,VOLTAS,375,VOLTAS
212,Wipro,WIPRO,3000,WIPRO
213,Yes Bank,YESBANK,31100,YES BANK
214,Zydus Life Science,ZYDUSLIFE,900,ZYDUS LIFESCIENCES

